Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q2,0.0499960,1594.194
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q2,0.0042006,120.463
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q2,0.0067661,201.055
Industry groups,Mining,SG01RSC04B01BB1,1987Q2,0.0140206,538.007
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q2,0.0564287,1160.791
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q2,0.0140132,345.986
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q2,0.0191522,363.417
Industry groups,Printing,SG01RSC04B01CC4,1987Q2,0.0073460,216.291
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q2,0.0381132,745.851
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q2,0.0060588,175.066
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q2,0.0187164,541.967
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q2,0.0286368,920.375
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q2,0.0054366,185.029
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q2,0.0297694,1125.525
Industry groups,Construction,SG01RSC04B01EE1,1987Q2,0.0500788,1565.187
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q2,0.0574564,1556.707
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q2,0.0502522,1180.378
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q2,0.0169034,700.890
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q2,0.0535779,941.055
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q2,0.0433400,433.118
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q2,0.0538671,1487.323
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q2,0.0424050,1764.566
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q2,0.0630485,1975.353
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q2,0.0408455,1804.574
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q2,0.0120257,485.093
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q2,0.0063093,190.872
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q2,0.0372983,1192.236
Industry groups,Education and training,SG01RSC04B01PP1,1987Q2,0.0388231,1379.572
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q2,0.0421132,1285.957
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q2,0.0078630,318.910
Industry groups,Other services,SG01RSC04B01RS2,1987Q2,0.0170951,473.424
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q2,0.0680429,1799.809
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q3,0.0499960,1654.117
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q3,0.0042006,135.736
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q3,0.0067661,199.914
Industry groups,Mining,SG01RSC04B01BB1,1987Q3,0.0140206,452.824
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q3,0.0564287,1109.104
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q3,0.0140132,331.637
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q3,0.0191522,371.735
Industry groups,Printing,SG01RSC04B01CC4,1987Q3,0.0073460,225.063
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q3,0.0381132,709.974
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q3,0.0060588,186.740
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q3,0.0187164,533.481
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q3,0.0286368,907.026
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q3,0.0054366,188.183
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q3,0.0297694,1109.923
Industry groups,Construction,SG01RSC04B01EE1,1987Q3,0.0500788,1633.089
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q3,0.0574564,1514.564
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q3,0.0502522,1168.877
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q3,0.0169034,700.726
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q3,0.0535779,971.483
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q3,0.0433400,448.299
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q3,0.0538671,1500.103
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q3,0.0424050,1800.063
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q3,0.0630485,1997.435
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q3,0.0408455,1882.315
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q3,0.0120257,503.498
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q3,0.0063093,193.414
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q3,0.0372983,1186.325
Industry groups,Education and training,SG01RSC04B01PP1,1987Q3,0.0388231,1382.821
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q3,0.0421132,1281.340
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q3,0.0078630,327.531
Industry groups,Other services,SG01RSC04B01RS2,1987Q3,0.0170951,466.704
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q3,0.0680429,1759.651
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q4,0.0499960,1733.074
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q4,0.0042006,133.521
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q4,0.0067661,206.836
Industry groups,Mining,SG01RSC04B01BB1,1987Q4,0.0140206,646.474
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q4,0.0564287,1095.274
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q4,0.0140132,293.936
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q4,0.0191522,379.885
Industry groups,Printing,SG01RSC04B01CC4,1987Q4,0.0073460,223.299
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q4,0.0381132,680.676
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q4,0.0060588,188.404
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q4,0.0187164,537.932
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q4,0.0286368,927.937
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q4,0.0054366,188.839
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q4,0.0297694,1112.423
Industry groups,Construction,SG01RSC04B01EE1,1987Q4,0.0500788,1640.570
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q4,0.0574564,1436.549
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q4,0.0502522,1170.321
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q4,0.0169034,691.694
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q4,0.0535779,1015.037
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q4,0.0433400,450.058
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q4,0.0538671,1501.024
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q4,0.0424050,1767.263
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q4,0.0630485,1997.684
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q4,0.0408455,1889.635
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q4,0.0120257,518.277
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q4,0.0063093,198.380
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q4,0.0372983,1178.559
Industry groups,Education and training,SG01RSC04B01PP1,1987Q4,0.0388231,1387.379
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q4,0.0421132,1284.608
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q4,0.0078630,341.034
Industry groups,Other services,SG01RSC04B01RS2,1987Q4,0.0170951,471.942
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q4,0.0680429,1860.155
